MaritalStatus,ApplicationMode,ApplicationOrder,Course,PreviousQualification,PreviousQualificationGrade,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,UnemploymentRate,InflationRate,GDP,Target
1,17,5,171,1,122,19,12,5,9,127.3,1,1,1,0,20,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,15,1,9254,1,160,1,3,3,3,142.5,1,0,1,0,19,6,6,14,6,6,6,13.9,-0.3,0.79,Graduate
1,1,5,9070,1,122,37,37,9,9,124.8,1,0,1,0,19,0,0,0,6,0,0,10.8,1.4,1.74,Dropout
1,17,2,9773,1,122,38,37,5,3,119.6,1,1,0,0,20,8,6,13.42857143,6,10,5,9.4,-0.8,-3.12,Graduate
2,39,1,8014,1,100,37,38,9,9,141.5,0,1,0,0,45,9,5,12.33333333,6,6,6,13.9,-0.3,0.79,Graduate
2,39,1,9991,19,133.1,37,37,9,7,114.8,0,1,1,0,50,10,5,11.85714286,5,17,5,16.2,0.3,-0.92,Graduate
1,1,1,9500,1,142,19,38,7,10,128.4,1,1,0,1,18,9,7,13.3,8,8,8,15.5,2.8,-4.06,Graduate
1,18,4,9254,1,119,37,37,9,9,113.1,1,0,1,0,22,5,0,0,5,5,0,15.5,2.8,-4.06,Dropout
1,1,3,9238,1,137,1,1,9,9,129.3,0,1,0,1,21,8,6,13.875,6,7,6,16.2,0.3,-0.92,Graduate
1,1,1,9238,1,138,1,19,4,7,123,1,0,0,0,18,9,5,11.4,6,14,2,8.9,1.4,3.51,Dropout
1,1,1,9670,1,139,38,19,5,7,130.6,1,1,0,0,18,6,6,12.33333333,6,7,5,13.9,-0.3,0.79,Graduate
1,1,1,9500,1,136,19,38,9,9,119.3,1,1,0,1,18,8,7,13.21428571,8,8,7,12.7,3.7,-1.7,Graduate
1,1,2,9853,1,133,19,37,4,9,130.2,1,1,0,0,19,6,0,0,6,0,0,12.7,3.7,-1.7,Dropout
1,53,1,9254,42,110,1,1,4,7,111.8,1,1,0,1,21,7,6,10.57142857,6,8,5,8.9,1.4,3.51,Graduate
1,1,1,9085,1,149,38,37,5,5,137.1,1,1,0,1,18,7,4,13.25,5,5,5,10.8,1.4,1.74,Graduate
1,1,1,9773,1,127,19,37,9,3,120.7,1,1,0,0,20,6,5,13.2,6,7,0,15.5,2.8,-4.06,Dropout
1,18,1,9238,1,137,19,38,5,8,137.4,1,1,0,0,18,10,1,12,6,14,2,10.8,1.4,1.74,Enrolled
1,17,2,9500,1,135,19,1,5,4,127.3,1,1,0,0,18,8,7,13.30625,8,8,8,15.5,2.8,-4.06,Graduate
1,1,1,9130,1,137,3,19,3,5,136.3,1,1,0,0,20,8,4,12.5,5,8,4,10.8,1.4,1.74,Graduate
